customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
R_1cYOJAbPFoatHTg,650,5,359.92,1,1,3,5,At Risk
R_1cYTBjpzLmoD0o6,221,21,653.12,3,3,3,9,Loyal
R_1cYxarQPFQxNRHB,232,15,479.66999999999996,3,3,3,9,Loyal
R_1cZfyoMTmga6Jem,417,27,546.63,1,3,3,7,Loyal
R_1d02LBY83RUbFAj,221,23,782.14,3,3,4,10,Champions
R_1d0GcZ7p11vQMGl,459,7,132.54,1,2,2,5,At Risk
R_1d4EqY6QNpI4BOG,166,9,258.57,4,2,2,8,Loyal
R_1d53jiCj5wF9MDy,252,37,798.38,3,4,4,11,Champions
R_1d6V903Xy4VOFla,248,11,235.93,3,2,2,7,Loyal
R_1dAhJdFXHV5xmMG,248,16,323.55,3,3,3,9,Loyal
R_1dAp3oDIZaH4ggg,306,38,663.1,2,4,4,10,Champions
R_1dEK26hH8SPqc9F,356,8,267.34000000000003,2,2,2,6,At Risk
R_1dEORt9BZBN76Bt,278,20,398.31,2,3,3,8,Loyal
R_1dEuiympk4ngwO2,391,8,177.13,2,2,2,6,At Risk
R_1dFu7LeBJE3Wd6p,183,42,1809.03,4,4,4,12,Champions
R_1dKBjc0UTA0ZiYb,121,71,1804.38,4,4,4,12,Champions
R_1daA74lMpRe8vI5,143,8,120.92999999999999,4,2,1,7,Loyal
R_1daE3vUDxFrSw4I,117,28,806.5500000000001,4,4,4,12,Champions
R_1daZ7tWSMODSGGp,185,15,286.15,4,3,2,9,Loyal
R_1dc3X6XrF0clV3s,225,27,1167.13,3,3,4,10,Champions
R_1di9Sd5sV58LBt2,337,3,82.93,2,1,1,4,Lapsed
R_1dlSByn2AyHWx7r,130,44,1437.66,4,4,4,12,Champions
R_1dnt2vJuBD1A90P,493,27,392.87,1,3,3,7,Loyal
R_1dpjyNliPgQ1lKK,477,7,123.69,1,2,2,5,At Risk
R_1dppjLIFEdj7Kq5,1259,14,360.7,1,3,3,7,Loyal
R_1dpqMNgAnhRiLQZ,208,3,50.93000000000001,3,1,1,5,At Risk
R_1drSsuQ7GIFdz5Z,1077,5,130.16,1,1,2,4,Lapsed
R_1ds30eciekBXDER,222,99,2524.04,3,4,4,11,Champions
R_1dskEAgtGDCt6s5,197,21,827.63,3,3,4,10,Champions
R_1dt2pwnEJkg5a7A,895,10,336.96,1,2,3,6,At Risk
